,Unnamed: 0,time,shoulder_qpos,shoulder_qvel,shoulder_effort,elbow_qpos,elbow_qvel,elbow_effort
6149,6149,76.31537985801697,0.35504657426943,3.05873966217041,-0.2269408404827118,-0.3010163307189941,3.38531494140625,-0.2693744599819183
6150,6150,76.32735872268677,0.3878148237811487,2.917766094207764,-0.2233526408672332,-0.2677728533744812,3.213906764984131,-0.2710559070110321
6151,6151,76.33942937850952,0.4136288801776331,2.799122095108032,-0.2045479714870453,-0.2352961301803589,3.2342233657836914,-0.3420897126197815
6152,6152,76.3507251739502,0.4410603682147425,2.715869665145874,-0.2002755105495453,-0.2040730118751534,3.1653153896331787,-0.2853711247444153
6153,6153,76.36366152763367,0.4918759504901366,2.4192917346954346,-0.1695025265216827,-0.1437800824642181,2.965527534484864,-0.3140850663185119
6154,6154,76.3739697933197,0.51495868364443,2.2247209548950195,-0.1406842768192291,-0.1120913922786712,2.8763346672058105,-0.2771172225475311
6155,6155,76.38558840751648,0.5370419661151367,2.162156343460083,-0.1345572173595428,-0.0869427919387817,2.685737133026123,-0.2452031373977661
6156,6156,76.39812755584717,0.5554021040545862,2.0052618980407715,-0.125624269247055,-0.0596864968538284,2.7271993160247803,-0.2918919622898102
6157,6157,76.41095924377441,0.5761540571795862,1.821857571601868,-0.0850442424416542,-0.0311817973852157,2.5334513187408447,-0.1835591197013855
6158,6158,76.42248749732971,0.609242741261621,1.502213478088379,-0.0338748469948768,0.0157524496316909,2.3464815616607666,-0.1898006498813629
6159,6159,76.4343614578247,0.6249173323260706,1.3493256568908691,-0.0249669328331947,0.0392566062510013,2.29049038887024,-0.2408143728971481
6160,6160,76.44627714157104,0.6374104658709925,1.179978609085083,-0.0258055701851844,0.0632762033492326,2.1419811248779297,-0.2003531754016876
6161,6161,76.45758533477783,0.6472447554217737,1.0262526273727417,-0.0136348977684974,0.0841390993446111,2.0529539585113525,-0.1985558867454528
6162,6162,76.46908211708069,0.6569111982928675,0.9116159677505492,0.0237783417105674,0.1017482448369264,1.919268488883972,-0.1604499071836471
6163,6163,76.48046207427979,0.6641362349139648,0.7757324576377869,0.0020071491599082,0.1201991140842437,1.826049566268921,-0.1639442294836044
6164,6164,76.4923255443573,0.6762669722186487,0.3905966579914093,0.064224861562252,0.1379488110542297,1.7311588525772097,-0.1754110902547836
6165,6165,76.50351643562317,0.6789487043963831,0.2734732031822204,0.0622179731726646,0.1696753054857254,1.456477165222168,-0.1025017872452735
6166,6166,76.51511430740356,0.6805546919452112,0.0599906407296657,0.0939944013953208,0.183921493589878,1.3568341732025146,-0.1131427809596061
6167,6167,76.52722501754761,0.6805089155780237,-0.0398607850074768,0.0938400253653526,0.1970604062080383,1.2960801124572754,-0.0971471294760704
6168,6168,76.53828930854797,0.6791051069842702,-0.1710387170314788,0.1347121298313141,0.2088952213525772,1.1109755039215088,-0.0667819902300834
6169,6169,76.54942607879639,0.67578632036318,-0.3123704791069031,0.1501330435276031,0.2203341871500015,0.9869133830070496,-0.0800520703196525
6170,6170,76.56100797653198,0.6719182173358362,-0.4641349911689758,0.1680573523044586,0.2275934517383575,0.8681663870811462,-0.0410116240382194
6171,6171,76.57233262062073,0.6588643232928675,-0.7417312264442444,0.1992329657077789,0.2434121221303939,0.6616911292076111,-0.0344308242201805
6172,6172,76.58264636993408,0.6504529158221644,-0.8874438405036926,0.1910134851932525,0.2487726062536239,0.4897969365119934,-0.0015163957141339
6173,6173,76.59405827522278,0.6405842939959925,-1.0418375730514526,0.213210254907608,0.2530207335948944,0.3816519975662231,0.0236740168184041
6174,6174,76.60542130470276,0.6296246687518519,-1.156148076057434,0.2086248695850372,0.2562014311552048,0.2814032137393951,0.0299105998128652
6175,6175,76.61711692810059,0.6171506086932581,-1.2876204252243042,0.2393623888492584,0.2582498639822006,0.1806616485118866,0.0366249158978462
6176,6176,76.62838125228882,0.603841129933496,-1.3546565771102903,0.2544662058353424,0.2587431818246841,0.0031262640841305,0.0535979345440864
6177,6177,76.64001417160034,0.5892613569842702,-1.4835646152496338,0.2195480167865753,0.2582495808601379,-0.0819472149014473,0.0697177127003669
6178,6178,76.65092253684998,0.5735791365252894,-1.5821373462677002,0.2579542696475982,0.256576269865036,-0.2142607271671295,0.1011196747422218
6179,6179,76.66315460205078,0.5390370527850585,-1.823784351348877,0.262222558259964,0.2509888857603073,-0.3133483529090881,0.1077766194939613
6180,6180,76.67499303817749,0.5199940840350585,-1.9594749212265008,0.2848323881626129,0.247462972998619,-0.408344954252243,0.0957415476441383
6181,6181,76.68714165687561,0.5003216902362269,-2.0517656803131104,0.2930289208889007,0.2438627332448959,-0.4185246527194977,0.103582389652729
6182,6182,76.69894886016846,0.4795659224139648,-2.0597827434539795,0.2549397647380829,0.2392208725213995,-0.4765741527080536,0.1014680638909339
6183,6183,76.71136784553528,0.4355824629413085,-2.3081891536712646,0.3097119629383087,0.2288253605365753,-0.5494066476821899,0.0894757583737373
6184,6184,76.72301363945007,0.4127591292010706,-2.29531192779541,0.2826773822307586,0.2228199541568756,-0.6054415702819824,0.1106200590729713
6185,6185,76.73484945297241,0.3888714949237268,-2.422903537750244,0.3062948286533355,0.2162126153707504,-0.7003973722457886,0.1409340798854828
6186,6186,76.74722170829773,0.3647435347186487,-2.4691708087921143,0.3299498260021209,0.2093865424394607,-0.706544816493988,0.114992655813694
6187,6187,76.75837230682373,0.3399441877948206,-2.4716949462890625,0.2909323275089264,0.2023936212062835,-0.801566481590271,0.1377537250518798
6188,6188,76.76945900917053,0.3119519392596643,-2.5724129676818848,0.3515812456607818,0.1936801522970199,-0.801639199256897,0.1160232201218605
6189,6189,76.78129172325134,0.2863095442401366,-2.575924158096313,0.2858514785766601,0.1852906942367553,-0.8406072854995728,0.1198226436972618
6190,6190,76.79243350028992,0.2362836042987268,-2.6477272510528564,0.314988911151886,0.1678999662399292,-0.8907503485679626,0.1473990976810455
6191,6191,76.80431747436523,0.206898991261621,-2.6351001262664795,0.3590351045131683,0.1590446010231971,-0.9140539765357972,0.1364446580410003
6192,6192,76.81480026245117,0.1826565901385706,-2.687694311141968,0.3491654694080353,0.1489244177937507,-0.9395363330841064,0.1374251544475555
6193,6193,76.8270959854126,0.1556714216815393,-2.722429752349853,0.3702492713928222,0.1407061070203781,-0.921187937259674,0.1295201629400253
6194,6194,76.83728170394897,0.1286214033709924,-2.715038776397705,0.3579111695289612,0.1316562891006469,-0.8789357542991638,0.1143751516938209
