,time,shoulder_qpos,shoulder_qvel,shoulder_effort,elbow_qpos,elbow_qvel,elbow_effort
0,0.0040059089660644,2.0394514242755335,-2.105679512023926,0.3070458471775055,1.0549721792340279,1.5949491262435913,-0.1055314168334007
1,0.0162062644958496,2.0148552099811,-2.285579204559326,0.3245529234409332,1.0714762285351753,1.6457773447036743,-0.100466214120388
2,0.028074026107788,1.9899089972125454,-2.551650047302246,0.3499707281589508,1.088267095386982,1.686983585357666,-0.114894114434719
3,0.0392024517059326,1.9603059927569786,-2.776912212371826,0.3912183344364166,1.1063681915402412,1.640079140663147,-0.0828673467040062
4,0.0507228374481201,1.9036977926837366,-3.1394338607788086,0.4195901453495025,1.1207968071103096,1.5546188354492188,-0.079796515405178
5,0.0623936653137207,1.8674839178668423,-3.336196184158325,0.4330417215824127,1.1517291143536568,1.3803367614746094,-0.0379981622099876
6,0.0729126930236816,1.8359764258014124,-3.5395331382751465,0.4758330881595611,1.1647768095135687,1.261470913887024,-0.0416364297270774
7,0.0850846767425537,1.8025787512408655,-3.761262178421021,0.5092951059341431,1.1764067485928535,1.1344960927963257,-0.0252725724130868
8,0.0970609188079834,1.7597587744342251,-4.018041610717773,0.5570265054702759,1.185801275074482,1.0279791355133057,-0.0141741875559091
9,0.1084406375885009,1.7187326590167444,-4.18381404876709,0.5616661310195923,1.1959793642163274,0.8804334402084351,0.0035665393806993
10,0.1199119091033935,1.6755169073687952,-4.406931877136231,0.6080373525619507,1.203042037785053,0.740159273147583,0.0175354834645986
11,0.1312317848205566,1.583273712788717,-4.7754435539245605,0.6658157110214233,1.213593490421772,0.3559098839759826,0.0506887808442115
12,0.1439573764801025,1.5342128912555137,-4.973193168640137,0.6628867387771606,1.2161170318722725,0.1943762004375457,0.0564048662781715
13,0.1551592350006103,1.4828651587115687,-5.253006935119629,0.722150444984436,1.2164039686322212,-0.0461973212659359,0.0769911184906959
14,0.1669566631317138,1.43016225496401,-5.3137617111206055,0.7066293954849243,1.2145602777600288,-0.2927812933921814,0.1346109211444854
15,0.1779141426086425,1.3752163092242637,-5.483437538146973,0.6837650537490845,1.209267623722553,-0.5856401324272156,0.2219460308551788
16,0.1896729469299316,1.3189275900470179,-5.68969202041626,0.6461724042892456,1.2013770416378975,-0.8992564678192139,0.2375922501087188
17,0.200920820236206,1.2035368124591272,-5.899376392364502,0.623416543006897,1.1908388212323187,-1.3032090663909912,0.2351222336292266
18,0.2120430469512939,1.150351349507467,-5.98914909362793,0.7083817720413208,1.1563562229275703,-2.043590784072876,0.3266797661781311
19,0.2238116264343261,1.0847929159747522,-5.982559680938721,0.6623944044113159,1.1306393221020699,-2.51912260055542,0.3806529641151428
20,0.2348678112030029,1.0236824194537562,-6.1073503494262695,0.67103111743927,1.1032836511731148,-2.8057403564453125,0.3791759610176086
21,0.2467265129089355,0.9618728796588343,-6.233592987060547,0.7201894521713257,1.0718227699398994,-3.2743420600891118,0.432181179523468
22,0.2582771778106689,0.9005735556231897,-6.112623691558838,0.6840863227844238,1.0407592132687566,-3.5505943298339844,0.4125629067420959
23,0.2694330215454101,0.8323267141925257,-6.259057521820068,0.7061871290206909,0.9988883212208748,-3.8531649112701416,0.4452030062675476
24,0.2811236381530761,0.7765758673297327,-6.274941444396973,0.7503678798675537,0.9134148433804512,-4.560813426971436,0.5292127728462219
25,0.292351484298706,0.6526907126056116,-6.162635326385498,0.6846621036529541,0.8713970258831978,-4.785251617431641,0.5285285115242004
26,0.3039488792419433,0.5848434607135218,-6.139593124389648,0.6816204786300659,0.8175487592816353,-4.953178882598877,0.5090020298957825
27,0.3156657218933105,0.5297525564776819,-6.097683429718018,0.634669303894043,0.7656292393803596,-5.288060188293457,0.5980936884880066
28,0.3269407749176025,0.46952420869936157,-5.922312736511231,0.614450216293335,0.7172669246792793,-5.48384952545166,0.5973092913627625
29,0.338512659072876,0.4160288015948694,-5.872766971588135,0.6020834445953369,0.6569703295826912,-5.511894226074219,0.571261465549469
30,0.3500349521636963,0.35166436830629516,-5.833499908447266,0.601618230342865,0.6063069775700569,-5.608502864837647,0.5984525084495544
31,0.3625550270080566,0.2358644644366662,-5.767195224761963,0.6306127905845642,0.4910633340477943,-5.814742565155029,0.6250364780426025
32,0.3755981922149658,0.1791361013995569,-5.612703323364258,0.5686391592025757,0.42671609669923777,-5.862252235412598,0.6539861559867859
33,0.3881285190582275,0.12302476564516229,-5.615663528442383,0.6368811726570129,0.3741688504815101,-5.815667629241943,0.6571842432022095
34,0.3992156982421875,0.06760484377016229,-5.586867332458496,0.6554438471794128,0.3105879053473472,-5.761638641357422,0.580995500087738
35,0.4121556282043457,0.013315200805664024,-5.428567886352539,0.6008428335189819,0.20078282803297037,-5.309998035430908,0.4945178031921386
36,0.4247052669525146,-0.0965156555175781,-5.544207572937012,0.688557505607605,0.1547415032982825,-5.023223876953125,0.4855728447437286
37,0.4372487068176269,-0.15085029602050778,-5.426905632019043,0.6122629046440125,0.1023930683732032,-4.620798587799072,0.4453712105751037
38,0.4487786293029785,-0.20586395263671878,-5.50801944732666,0.6268107295036316,0.0625317245721817,-4.41774320602417,0.4272548854351043
39,0.4598972797393799,-0.3090066909790039,-5.40347146987915,0.6203749179840088,0.022166483104228994,-3.950320720672608,0.3598898947238922
40,0.4710466861724853,-0.361720085144043,-5.263894081115723,0.5763068199157715,-0.015162333846092196,-3.639394760131836,0.3381786942481994
41,0.4826395511627197,-0.4182834625244141,-5.122614860534668,0.5418851375579834,-0.0813876315951347,-3.063656806945801,0.3123520016670227
